month,day,hour,is_holiday,is_weekend,hum,t1,t2,wind_speed,weather,city,cnt,rate
1,1,0,0,1,0.81,-0.16000000000000014,5.5313,0.0,1,DC,16,0.26666666666666666
1,1,1,0,1,0.8,-1.4800000000000004,4.8169,0.0,1,DC,40,0.6666666666666666
1,1,2,0,1,0.8,-1.4800000000000004,4.8169,0.0,1,DC,32,0.5333333333333333
1,1,3,0,1,0.75,-0.16000000000000014,5.5313,0.0,1,DC,13,0.21666666666666667
1,1,4,0,1,0.75,-0.16000000000000014,5.5313,0.0,1,DC,1,0.016666666666666666
1,1,5,0,1,0.75,-0.16000000000000014,4.107200000000001,6.0032,2,DC,1,0.016666666666666666
1,1,6,0,1,0.8,-1.4800000000000004,4.8169,0.0,1,DC,2,0.03333333333333333
1,1,7,0,1,0.86,-2.799999999999999,4.107200000000001,0.0,1,DC,3,0.05
1,1,8,0,1,0.75,-0.16000000000000014,5.5313,0.0,1,DC,8,0.13333333333333333
1,1,9,0,1,0.76,5.120000000000001,8.3795,0.0,1,DC,14,0.23333333333333334
1,1,10,0,1,0.76,9.080000000000002,10.513299999999997,16.997899999999998,1,DC,36,0.6
1,1,11,0,1,0.81,7.759999999999998,7.665099999999999,19.0012,1,DC,56,0.9333333333333333
1,1,12,0,1,0.77,11.719999999999999,11.9374,19.0012,1,DC,84,1.4
1,1,13,0,1,0.72,14.360000000000003,13.3615,19.999499999999998,2,DC,94,1.5666666666666667
1,1,14,0,1,0.72,14.360000000000003,13.3615,19.0012,2,DC,106,1.7666666666666666
1,1,15,0,1,0.77,13.04,12.651800000000001,19.999499999999998,2,DC,110,1.8333333333333333
1,1,16,0,1,0.82,11.719999999999999,11.9374,19.999499999999998,2,DC,93,1.55
1,1,17,0,1,0.82,13.04,12.651800000000001,19.0012,2,DC,67,1.1166666666666667
1,1,18,0,1,0.88,11.719999999999999,11.9374,16.997899999999998,3,DC,35,0.5833333333333334
1,1,19,0,1,0.88,11.719999999999999,11.9374,16.997899999999998,3,DC,37,0.6166666666666667
1,1,20,0,1,0.87,10.400000000000002,11.227700000000002,16.997899999999998,2,DC,36,0.6
1,1,21,0,1,0.87,10.400000000000002,11.227700000000002,12.998000000000001,2,DC,34,0.5666666666666667
1,1,22,0,1,0.94,10.400000000000002,11.227700000000002,15.001299999999999,2,DC,28,0.4666666666666667
1,1,23,0,1,0.88,14.360000000000003,13.3615,19.999499999999998,2,DC,39,0.65
1,2,0,0,1,0.88,14.360000000000003,13.3615,19.999499999999998,2,DC,17,0.2833333333333333
1,2,1,0,1,0.94,13.04,12.651800000000001,16.997899999999998,2,DC,17,0.2833333333333333
